	  ID		  PRINCIPAL_INVESTIGATOR	 ORGANIZATION		       EXPERIMENT	 1st_DATE  1st_LAT  1st_LON 	 END_DATE  END_LAT  END_LON	 TYPE	 FILENAME
    11300100	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-06-13  36.499  -8.556	2011-05-11  34.086  -10.080	RAFOS	am100.nc
    11300101	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2009-10-15  36.526  -8.473	2009-11-13  37.658  -10.008	RAFOS	am101.nc
    11300102	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-02-22  36.475  -8.610	2010-03-03  36.918  -9.710	RAFOS	am102.nc
  1130010301	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2009-12-09  36.484  -8.498	2010-01-07  36.323  -11.171	RAFOS	am103a.nc
  1130010302	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-05-16  36.509  -8.561	2011-01-24  37.609  -10.989	RAFOS	am103b.nc
    11300104	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-02-22  36.508  -8.507	2010-12-09  39.444  -10.299	RAFOS	am104.nc
    11300105	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2009-12-09  36.496  -8.491	2010-01-07  37.650  -11.657	RAFOS	am105.nc
  1130010601	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-04-14  36.468  -8.512	2010-04-20  36.602  -9.283	RAFOS	am106a.nc
  1130010602	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-08-09  36.513  -8.542	2010-12-04  37.674  -12.460	RAFOS	am106b.nc
    11300107	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-05-26  36.450  -8.459	2011-04-23  35.925  -10.830	RAFOS	am107.nc
    11300108	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-06-13  36.416  -8.561	2010-11-10  36.131  -10.995	RAFOS	am108.nc
    11300109	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-05-26  36.454  -8.476	2011-04-22  41.775  -17.220	RAFOS	am109.nc
    11300110	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2009-12-18  36.484  -8.474	2010-10-04  38.270  -14.989	RAFOS	am110.nc
    11300111	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-04-24  36.539  -9.059	2010-11-30  35.487  -10.547	RAFOS	am111.nc
    11300112	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-07-11  36.429  -8.453	2011-06-09  35.897  -16.479	RAFOS	am112.nc
    11300114	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-06-10  36.511  -8.450	2010-11-29  39.216  -10.298	RAFOS	am114.nc
    11300115	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-08-01  36.622  -8.501	2011-02-19  34.549  -13.512	RAFOS	am115.nc
  1130011601	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2009-12-18  36.546  -8.400	2010-01-17  37.636  -11.504	RAFOS	am116a.nc
  1130011602	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-05-10  36.529  -8.537	2010-06-08  36.934  -10.027	RAFOS	am116b.nc
    11300117	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-07-05  36.485  -8.540	2011-05-26  39.272  -15.971	RAFOS	am117.nc
    11300118	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-02-07  36.521  -8.503	2010-08-14  39.849  -11.777	RAFOS	am118.nc
    11300119	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-06-29  36.593  -9.386	2011-05-19  41.182  -10.320	RAFOS	am119.nc
  1130012002	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-08-09  36.534  -8.545	2011-07-06  37.884  -11.791	RAFOS	am120b.nc
  1130012101	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-06-09  36.524  -8.488	2010-06-10  36.429  -8.639	RAFOS	am121a.nc
  1130012102	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-08-08  36.447  -8.489	2011-02-11  34.711  -8.074	RAFOS	am121b.nc
    11300122	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-02-14  36.497  -8.554	2011-01-13  37.886  -12.283	RAFOS	am122.nc
    11300123	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-01-26  36.427  -8.451	2010-02-23  36.520  -8.354	RAFOS	am123.nc
    11300125	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-01-24  36.488  -8.446	2010-02-22  37.023  -9.285	RAFOS	am125.nc
  1130012601	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-04-19  36.431  -8.523	2010-04-23  36.429  -8.555	RAFOS	am126a.nc
  1130012602	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-07-11  36.459  -8.478	2011-01-27  36.762  -13.230	RAFOS	am126b.nc
    11300127	                       A.S.Bower	      WHOI	Med.Undercurrent Seeding	2010-07-04  36.472  -8.497	2010-11-25  40.179  -9.817	RAFOS	am127.nc
